link_idx,u,v,bw_bps,active_reservations,total_reserved_bits,total_dropped_bits,drop_count
0,0,1,10000000000.0,1,555944865.1040543,0.0,0
1,0,5,10000000000.0,1,896678207.6934546,0.0,0
2,0,6,10000000000.0,0,0.0,0.0,0
3,0,7,10000000000.0,1,30454461.641655073,0.0,0
4,0,9,10000000000.0,1,15049272.310966045,0.0,0
5,1,0,10000000000.0,1,870161355.4965061,0.0,0
6,1,2,10000000000.0,1,2329578599.777048,0.0,0
7,1,6,10000000000.0,1,501237006.0582605,0.0,0
8,1,17,10000000000.0,1,1364458148.2705247,0.0,0
9,2,1,10000000000.0,1,1080438984.8871827,0.0,0
10,2,3,10000000000.0,1,60209966.09907327,0.0,0
11,2,5,10000000000.0,1,2295731083.112556,0.0,0
12,3,2,10000000000.0,1,76381894.87690905,0.0,0
13,3,4,10000000000.0,1,18563045.449046947,0.0,0
14,3,5,10000000000.0,1,18759184.833091363,0.0,0
15,3,17,10000000000.0,1,11123331.784147535,0.0,0
16,4,3,10000000000.0,1,58408837.71192817,0.0,0
17,4,9,10000000000.0,1,453640699.2952143,0.0,0
18,5,0,10000000000.0,1,3111261.0794426594,0.0,0
19,5,2,10000000000.0,1,135347228.91370648,0.0,0
20,5,3,10000000000.0,1,31142981.26003816,0.0,0
21,5,6,10000000000.0,1,18035468.67664478,0.0,0
22,5,11,10000000000.0,1,878533529.346368,0.0,0
23,5,13,10000000000.0,1,55599212.441915005,0.0,0
24,5,16,10000000000.0,1,386104851.41129804,0.0,0
25,6,0,10000000000.0,1,4425868.909900864,0.0,0
26,6,1,10000000000.0,1,39583367.3906566,0.0,0
27,6,5,10000000000.0,1,34218901.818849824,0.0,0
28,6,7,10000000000.0,1,897281417.2512891,0.0,0
29,6,11,10000000000.0,1,14473903.443729583,0.0,0
30,6,12,10000000000.0,0,0.0,0.0,0
31,6,19,10000000000.0,1,21133908.3524762,0.0,0
32,7,0,10000000000.0,1,1323280878.845364,0.0,0
33,7,2,10000000000.0,1,3231598514.985916,0.0,0
34,7,6,10000000000.0,1,4425868.909900864,0.0,0
35,7,8,10000000000.0,1,31672503.545822553,0.0,0
36,7,12,10000000000.0,1,26080509.012240153,0.0,0
37,7,14,10000000000.0,1,6128567.5552656315,0.0,0
38,8,7,10000000000.0,1,898299754.077785,0.0,0
39,8,9,10000000000.0,1,409154211.6229872,0.0,0
40,8,12,10000000000.0,0,0.0,0.0,0
41,8,13,10000000000.0,1,63571695.75156905,0.0,0
42,9,0,10000000000.0,1,441379481.8334406,0.0,0
43,9,8,10000000000.0,1,8594107.286919553,0.0,0
44,9,14,10000000000.0,0,0.0,0.0,0
45,10,5,10000000000.0,1,101143498.82035042,0.0,0
46,10,11,10000000000.0,1,440845924.35633475,0.0,0
47,10,15,10000000000.0,1,486242650.13606936,0.0,0
48,10,16,10000000000.0,0,0.0,0.0,0
49,11,5,10000000000.0,1,478471217.472185,0.0,0
50,11,6,10000000000.0,1,465621382.15335196,0.0,0
51,11,10,10000000000.0,1,484126457.1713793,0.0,0
52,11,16,10000000000.0,0,0.0,0.0,0
53,11,17,10000000000.0,1,409548423.9368933,0.0,0
54,12,6,10000000000.0,1,13930544.473397583,0.0,0
55,12,7,10000000000.0,1,900595627.7638016,0.0,0
56,12,8,10000000000.0,1,400088265.4317494,0.0,0
57,12,16,10000000000.0,0,0.0,0.0,0
58,12,18,10000000000.0,0,0.0,0.0,0
59,13,5,10000000000.0,1,71664080.05757837,0.0,0
60,13,8,10000000000.0,1,448516655.241323,0.0,0
61,13,14,10000000000.0,1,19539816.52183125,0.0,0
62,13,15,10000000000.0,1,33912441.94915947,0.0,0
63,14,7,10000000000.0,1,457163904.89113104,0.0,0
64,14,9,10000000000.0,1,16864920.672505647,0.0,0
65,14,13,10000000000.0,0,0.0,0.0,0
66,15,10,10000000000.0,1,16392213.836554166,0.0,0
67,15,13,10000000000.0,1,3415657.682962276,0.0,0
68,16,5,10000000000.0,1,18947797.29955735,0.0,0
69,16,10,10000000000.0,0,0.0,0.0,0
70,16,11,10000000000.0,0,0.0,0.0,0
71,16,12,10000000000.0,1,382536954.96212745,0.0,0
72,16,17,10000000000.0,1,447258499.2200522,0.0,0
73,17,1,10000000000.0,1,478619973.2686007,0.0,0
74,17,3,10000000000.0,1,466647233.20825475,0.0,0
75,17,11,10000000000.0,1,3393929.1523092333,0.0,0
76,17,16,10000000000.0,1,31463164.92377031,0.0,0
77,17,18,10000000000.0,1,21893765.26851234,0.0,0
78,18,10,10000000000.0,1,14532858.09338362,0.0,0
79,18,12,10000000000.0,1,470404483.13314927,0.0,0
80,18,17,10000000000.0,1,17857982.958539933,0.0,0
81,18,19,10000000000.0,1,3696581.510915617,0.0,0
82,19,6,10000000000.0,1,483136063.95608205,0.0,0
83,19,18,10000000000.0,0,0.0,0.0,0
