task_id,device_id,decision,arrival_time_s,queue_enter_time_s,start_time_s,end_time_s,queue_delay_ms,proc_delay_ms,tx_delay_ms,total_latency_ms,energy_j,deadline_ms,status,sla_violation
task_165_0,dev_165,offload,0.319,0.319,0.33230000000000004,0.3347,13.300000000000034,2.4000000000000004,13.327264493187101,29.027264493187094,0.00666363224659355,21.6,miss,
task_68_0,dev_68,offload,0.3537,0.3537,0.3649,0.36710000000000004,11.199999999999989,2.2,11.188991693091262,24.588991693091288,0.005594495846545631,29.0,hit,
task_79_0,dev_79,offload,0.367,0.367,0.38,0.38230000000000003,13.00000000000001,2.3,13.030449825977549,28.330449825977585,0.006515224912988774,24.3,miss,
task_138_0,dev_138,offload,0.3891,0.3891,0.4012,0.40340000000000004,12.1,2.2,12.1378305215192,26.437830521519235,0.0060689152607596,28.1,hit,
task_150_0,dev_150,offload,1.3834,1.3834,1.3961000000000001,1.3984,12.700000000000156,2.3,12.719221651040124,27.71922165104025,0.006359610825520062,26.9,miss,
task_43_0,dev_43,offload,1.8123,1.8123,1.8261,1.8286,13.800000000000034,2.5,13.84812663102986,30.148126631029843,0.00692406331551493,29.8,miss,
task_63_0,dev_63,offload,1.879,1.879,1.8933,1.8958000000000002,14.29999999999998,2.5,14.268417805845745,31.06841780584589,0.007134208902922872,21.7,miss,
task_19_0,dev_19,offload,2.1529000000000003,2.1529000000000003,2.1645000000000003,2.1666000000000003,11.600000000000055,2.1,11.624207346659125,25.324207346659172,0.005812103673329562,27.400000000000002,hit,
task_64_0,dev_64,local,2.2445,2.2445,,,0.0,0.0,0.0,,0.0,26.4,drop,
task_152_0,dev_152,offload,3.2278000000000002,3.2278000000000002,3.2405,3.2429,12.699999999999712,2.4000000000000004,12.723282291284619,27.82328229128451,0.006361641145642309,25.500000000000004,miss,
task_186_0,dev_186,offload,3.2677,3.2677,3.2832000000000003,3.286,15.500000000000291,2.8,15.530800499205299,33.83080049920528,0.007765400249602649,22.2,miss,
task_165_1,dev_165,offload,3.3501000000000003,3.3501000000000003,3.3618,3.3639,11.699999999999822,2.1,11.698627564145793,25.498627564145607,0.005849313782072897,23.900000000000002,miss,
task_74_0,dev_74,offload,3.8203,3.8203,3.8353,3.838,15.000000000000124,2.7,15.007866031024063,32.70786603102411,0.007503933015512032,24.400000000000002,miss,
task_159_0,dev_159,offload,3.935,3.935,3.9485,3.951,13.500000000000068,2.5,13.470702109074589,29.4707021090746,0.0067353510545372945,21.8,miss,
task_70_0,dev_70,offload,4.2164,4.2164,4.2268,4.2287,10.399999999999743,1.9,10.424509110361546,22.724509110361303,0.005212254555180773,23.200000000000003,hit,
task_85_0,dev_85,offload,4.7681000000000004,4.7681000000000004,4.7839,4.7868,15.799999999999592,2.9000000000000004,15.848834142102218,34.54883414210216,0.007924417071051109,29.300000000000004,miss,
task_190_0,dev_190,offload,4.820600000000001,4.820600000000001,4.8325000000000005,4.834700000000001,11.8999999999998,2.2,11.909130283167315,26.009130283167316,0.005954565141583657,27.700000000000003,hit,
task_181_0,dev_181,offload,5.0192000000000005,5.0192000000000005,5.0313,5.0336,12.099999999999334,2.3,12.106812020545547,26.50681202054485,0.006053406010272774,23.3,miss,
task_12_0,dev_12,offload,5.043,5.043,5.0558000000000005,5.0581000000000005,12.800000000000367,2.3,12.799518912088145,27.89951891208848,0.006399759456044072,27.900000000000002,hit,
task_187_0,dev_187,offload,5.405200000000001,5.405200000000001,5.4196,5.4222,14.399999999999302,2.6000000000000005,14.403802189653735,31.403802189653195,0.007201901094826868,20.3,miss,
task_185_0,dev_185,offload,5.4430000000000005,5.4430000000000005,5.457800000000001,5.460500000000001,14.800000000000146,2.7,14.788052622027669,32.28805262202774,0.007394026311013834,26.3,miss,
task_153_0,dev_153,offload,5.4590000000000005,5.4590000000000005,5.4713,5.4735000000000005,12.299999999999756,2.2,12.280823776222507,26.780823776222462,0.006140411888111253,20.1,miss,
task_41_0,dev_41,offload,5.6859,5.6859,5.6986,5.7009,12.699999999999712,2.3,12.665229188915392,27.66522918891507,0.006332614594457696,21.9,miss,
task_94_0,dev_94,offload,6.1054,6.1054,6.1181,6.1203,12.699999999999712,2.2,12.661205905674471,27.561205905674385,0.006330602952837236,22.4,miss,
task_99_0,dev_99,offload,6.2732,6.2732,6.2855,6.287800000000001,12.299999999999756,2.3,12.347670168033119,26.94767016803373,0.006173835084016559,28.7,hit,
task_50_0,dev_50,offload,6.504700000000001,6.504700000000001,6.5181000000000004,6.5205,13.399999999999856,2.4000000000000004,13.389953924555282,29.189953924554874,0.006694976962277641,29.300000000000004,hit,
task_30_0,dev_30,offload,6.6986,6.6986,6.71,6.7121,11.400000000000077,2.1,11.410420541255123,24.910420541255633,0.005705210270627562,26.1,hit,
task_155_0,dev_155,offload,7.0616,7.0616,7.074000000000001,7.0762,12.40000000000041,2.2,12.353056011500252,26.953056011499974,0.006176528005750126,23.5,miss,
task_165_2,dev_165,offload,7.276800000000001,7.276800000000001,7.2875000000000005,7.2894000000000005,10.699999999999932,1.9,10.659868172313784,23.25986817231373,0.005329934086156892,29.0,hit,
task_103_0,dev_103,offload,7.9381,7.9381,7.952500000000001,7.955100000000001,14.40000000000019,2.6000000000000005,14.363258867649806,31.363258867650153,0.007181629433824903,25.0,miss,
task_135_0,dev_135,offload,8.1456,8.1456,8.1582,8.160400000000001,12.600000000000833,2.2,12.614221065383992,27.41422106538503,0.006307110532691996,29.900000000000002,hit,
task_144_0,dev_144,offload,8.410400000000001,8.410400000000001,8.4251,8.4277,14.699999999999491,2.6000000000000005,14.690738391609484,31.990738391608247,0.007345369195804742,27.3,miss,
task_81_0,dev_81,offload,8.5755,8.5755,8.5876,8.5898,12.100000000000222,2.2,12.133794714186298,26.43379471418672,0.006066897357093149,21.3,miss,
task_119_0,dev_119,offload,8.8391,8.8391,8.8515,8.8538,12.399999999999523,2.3,12.368779982371063,27.068779982370554,0.006184389991185531,24.0,miss,
task_137_0,dev_137,offload,8.9411,8.9411,8.9541,8.9565,12.9999999999999,2.4000000000000004,13.038387083743022,28.438387083742658,0.006519193541871511,23.0,miss,
task_193_0,dev_193,offload,9.1495,9.1495,9.1636,9.1662,14.10000000000089,2.6000000000000005,14.093858814438805,30.793858814438963,0.007046929407219403,26.1,miss,
task_3_0,dev_3,offload,9.644,9.644,9.6544,9.6564,10.400000000000631,2.0,10.422987776635061,22.822987776634584,0.005211493888317531,21.3,miss,
task_112_0,dev_112,offload,9.645900000000001,9.645900000000001,9.6586,9.6609,12.699999999998823,2.3,12.722418858289023,27.722418858287817,0.006361209429144511,29.8,hit,
task_132_0,dev_132,offload,10.676400000000001,10.676400000000001,10.690100000000001,10.6926,13.700000000000045,2.5,13.661983436091681,29.86198343609123,0.0068309917180458405,24.900000000000002,miss,
task_165_3,dev_165,offload,10.866,10.866,10.878300000000001,10.880700000000001,12.300000000001532,2.4000000000000004,12.291737583252484,26.99173758325375,0.006145868791626242,27.3,hit,
task_79_1,dev_79,offload,10.8848,10.8848,10.898800000000001,10.9014,14.000000000001123,2.6000000000000005,13.981532746857487,30.58153274685788,0.0069907663734287435,24.1,miss,
task_141_0,dev_141,offload,10.9007,10.9007,10.9146,10.917100000000001,13.89999999999958,2.5,13.858647925337204,30.25864792533806,0.006929323962668602,29.900000000000002,miss,
task_168_0,dev_168,offload,11.0594,11.0594,11.0732,11.075700000000001,13.799999999999812,2.5,13.801351704716108,30.1013517047172,0.006900675852358054,20.200000000000003,miss,
task_135_1,dev_135,offload,11.209200000000001,11.209200000000001,11.222900000000001,11.2253,13.700000000000045,2.4000000000000004,13.696211382243199,29.79621138224298,0.006848105691121599,22.9,miss,
task_161_0,dev_161,offload,11.2896,11.2896,11.301,11.3031,11.400000000000077,2.1,11.409203830539678,24.90920383054019,0.005704601915269839,24.200000000000003,miss,
task_153_1,dev_153,offload,12.219000000000001,12.219000000000001,12.232600000000001,12.235100000000001,13.600000000000279,2.5,13.58555238601829,29.68555238601807,0.006792776193009145,27.400000000000002,miss,
task_2_0,dev_2,offload,12.2278,12.2278,12.2402,12.242700000000001,12.399999999999523,2.5,12.401771346260483,27.301771346261283,0.006200885673130241,25.0,miss,
task_182_0,dev_182,offload,12.6163,12.6163,12.6293,12.6317,12.9999999999999,2.4000000000000004,12.990736314987098,28.390736314986732,0.006495368157493549,25.1,miss,
task_74_1,dev_74,offload,13.8496,13.8496,13.8648,13.867600000000001,15.200000000000102,2.8,15.158601016410456,33.15860101641114,0.007579300508205228,20.800000000000004,miss,
task_15_0,dev_15,offload,14.184600000000001,14.184600000000001,14.193000000000001,14.194500000000001,8.399999999999963,1.5,8.43990442389977,18.33990442389979,0.0042199522119498855,24.900000000000002,hit,
task_178_0,dev_178,offload,14.318000000000001,14.318000000000001,14.3291,14.331100000000001,11.099999999999,2.0,11.050486688701685,24.150486688701353,0.005525243344350843,20.1,miss,
task_112_1,dev_112,offload,14.3215,14.3215,14.3344,14.3368,12.900000000000134,2.4000000000000004,12.917130818690103,28.217130818689974,0.006458565409345051,21.400000000000002,miss,
task_158_0,dev_158,offload,14.4623,14.4623,14.4732,14.475200000000001,10.899999999999466,2.0,10.91801974095137,23.818019740951506,0.005459009870475685,22.2,miss,
task_18_0,dev_18,offload,14.5172,14.5172,14.529200000000001,14.531400000000001,12.000000000000455,2.2,11.992209557226273,26.19220955722693,0.005996104778613136,28.900000000000002,hit,
task_176_0,dev_176,offload,14.8033,14.8033,14.8176,14.820200000000002,14.300000000000423,2.6000000000000005,14.269449547272359,31.169449547273828,0.00713472477363618,23.400000000000002,miss,
task_93_0,dev_93,offload,15.1042,15.1042,15.118,15.120500000000002,13.799999999999812,2.5,13.83250237314842,30.132502373149514,0.00691625118657421,20.3,miss,
task_37_0,dev_37,offload,15.3621,15.3621,15.373000000000001,15.375,10.900000000001242,2.0,10.914060609832154,23.81406060983229,0.005457030304916077,23.200000000000003,miss,
task_34_0,dev_34,offload,15.4952,15.4952,15.507000000000001,15.5091,11.80000000000092,2.1,11.817990194591605,25.717990194591184,0.005908995097295803,26.500000000000004,hit,
task_54_0,dev_54,offload,15.638200000000001,15.638200000000001,15.6531,15.655700000000001,14.899999999999025,2.6000000000000005,14.89552423882698,32.39552423882705,0.00744776211941349,29.2,miss,
task_130_0,dev_130,offload,15.738900000000001,15.738900000000001,15.7529,15.755400000000002,13.999999999999346,2.5,13.970350358121786,30.47035035812241,0.0069851751790608934,20.3,miss,
task_157_0,dev_157,offload,16.7966,16.7966,16.8062,16.8079,9.599999999998943,1.7000000000000002,9.557590148142603,20.857590148141135,0.004778795074071302,27.3,hit,
task_138_1,dev_138,offload,16.998900000000003,16.998900000000003,17.009700000000002,17.0117,10.799999999999699,2.0,10.760893666699967,23.560893666698558,0.005380446833349984,24.0,hit,
task_31_0,dev_31,offload,17.4099,17.4099,17.422,17.424200000000003,12.100000000000222,2.2,12.06429472139018,26.36429472139238,0.00603214736069509,20.5,miss,
task_52_0,dev_52,offload,18.623900000000003,18.623900000000003,18.633,18.634700000000002,9.099999999996555,1.7000000000000002,9.131886264170095,19.931886264169794,0.004565943132085048,26.3,hit,
